n_tplus,Tzplus
"1497,02734375","0,4843523126"
"1497,0737304688","0,4602195952"
"1497,1177978516","0,0484378002"
"1497,1224365234","-0,0662667785"
"1497,1160888672","0,056052326"
"1497,1214599609","0,0293102298"
"1497,1242675781","-0,2766046929"
"1497,0977783203","-0,2726610785"
"1497,0716552734","-0,0598711931"
"1497,0659179688","-0,1312097778"
"1497,0533447266","-0,454765533"
"1497,009765625","-0,3998397556"
"1496,9714355469","-0,0458224255"
"1496,9670410156","0,0598723383"
"1496,9727783203","-0,2039192165"
"1496,9532470703","-0,1871916295"
"1496,9353027344","0,0509365175"
"1496,9401855469","0,0777294014"
